"","long","lat","group","year"
"37310",-120.59,41.88,"84.1",2006
"37482",-120.57,41.88,"84.1",2006
"37643",-120.57,41.89,"84.1",2006
"37849",-120.58,41.89,"84.1",2006
"38105",-120.58,41.9,"84.1",2006
"38186",-120.57,41.9,"84.1",2006
"38314",-120.56,41.88,"84.1",2006
"38789",-120.56,41.88,"84.2",2006
"38820",-120.56,41.87,"84.2",2006
"38963",-120.55,41.87,"84.2",2006
"39148",-120.55,41.86,"84.2",2006
"39198",-120.56,41.86,"84.2",2006
"40201",-120.59,41.85,"84.3",2006
"40211",-120.58,41.85,"84.3",2006
"40364",-120.58,41.84,"84.3",2006
"40735",-120.59,41.84,"84.3",2006
"40967",-120.55,41.86,"84.4",2006
"40972",-120.54,41.86,"84.4",2006
"41122",-120.54,41.85,"84.4",2006
"41326",-120.59,41.88,"84.5",2006
"41353",-120.6,41.88,"84.5",2006
"41416",-120.6,41.89,"84.5",2006
"41506",-120.59,41.89,"84.5",2006
"41553",-120.56,41.86,"84.6",2006
"41566",-120.55,41.85,"84.6",2006
"41633",-120.56,41.85,"84.6",2006
"41767",-120.59,41.88,"84.7",2006
"41908",-120.58,41.86,"84.8",2006
"41915",-120.57,41.86,"84.8",2006
"41938",-120.57,41.85,"84.8",2006
"42156",-120.55,41.87,"84.9",2006
"42336",-120.56,41.87,"84.9",2006
"42605",-120.58,41.86,"84.10",2006
"42616",-120.58,41.85,"84.10",2006
"42638",-120.57,41.85,"84.10",2006
"42871",-120.54,41.87,"84.11",2006
"42972",-120.54,41.86,"84.11",2006
"43100",-120.59,41.88,"84.12",2006
"43199",-120.59,41.87,"84.12",2006
"43312",-120.59,41.88,"84.13",2006
"43459",-120.54,41.86,"84.14",2006
"43624",-120.62,41.86,"84.15",2006
"43641",-120.61,41.86,"84.15",2006
"43844",-120.62,41.87,"84.15",2006
"43853",-120.58,41.85,"84.16",2006
"43862",-120.57,41.85,"84.16",2006
"43942",-120.55,41.86,"84.17",2006
"44049",-120.6,41.87,"84.18",2006
"44219",-120.58,41.85,"84.19",2006
"44288",-120.56,41.87,"84.20",2006
"44644",-120.62,41.86,"84.21",2006
"44657",-120.61,41.86,"84.21",2006
"44805",-120.54,41.87,"84.22",2006
"44884",-120.55,41.87,"84.22",2006
"44926",-120.58,41.86,"84.23",2006
"45038",-120.58,41.84,"84.24",2006
"45118",-120.6,41.88,"84.25",2006
"45120",-120.6,41.89,"84.25",2006
"45149",-120.6,41.87,"84.26",2006
"45175",-120.55,41.87,"84.27",2006
"45192",-120.85,41.84,"85.1",2006
"45246",-120.84,41.84,"85.1",2006
"45266",-120.84,41.83,"85.1",2006
"45334",-120.85,41.83,"85.1",2006
"45488",-120.86,41.83,"85.1",2006
"45622",-120.86,41.84,"85.1",2006
"46013",-120.86,41.82,"85.2",2006
"46354",-120.86,41.81,"85.2",2006
"46861",-120.87,41.81,"85.2",2006
"47248",-120.87,41.82,"85.2",2006
"47786",-116.75,33.73,"86.1",2006
"47797",-116.76,33.73,"86.1",2006
"47851",-116.76,33.74,"86.1",2006
"47912",-116.75,33.74,"86.1",2006
"47965",-116.75,33.73,"87.1",2006
"47976",-116.76,33.73,"87.1",2006
"48030",-116.76,33.74,"87.1",2006
"48091",-116.75,33.74,"87.1",2006
"48144",-116.75,33.73,"88.1",2006
"48155",-116.76,33.73,"88.1",2006
"48209",-116.76,33.74,"88.1",2006
"48270",-116.75,33.74,"88.1",2006
"48323",-116.72,33.72,"89.1",2006
"48351",-116.71,33.72,"89.1",2006
"48359",-116.71,33.71,"89.1",2006
"48373",-116.72,33.71,"89.1",2006
"48481",-116.73,33.72,"89.1",2006
"48574",-116.72,33.73,"89.1",2006
"48675",-116.72,33.72,"90.1",2006
"48703",-116.71,33.72,"90.1",2006
"48711",-116.71,33.71,"90.1",2006
"48725",-116.72,33.71,"90.1",2006
"48833",-116.73,33.72,"90.1",2006
"48926",-116.72,33.73,"90.1",2006
"49027",-116.72,33.72,"91.1",2006
"49055",-116.71,33.72,"91.1",2006
"49063",-116.71,33.71,"91.1",2006
"49077",-116.72,33.71,"91.1",2006
"49185",-116.73,33.72,"91.1",2006
"49278",-116.72,33.73,"91.1",2006
"49379",-117.13,34.28,"92.1",2006
"49593",-117.13,34.27,"92.1",2006
